,0
Ashley,-0.17665387736433513
Bedminster,0.5547497878713494
Avonmouth and Lawrence Weston,0.6671095908086198
Bishopsworth,-1.9590040273914235
Bishopston and Ashley Down,0.5943993310550031
Brislington East,0.742639552274361
Easton,-2.2219199003730625
Clifton,-0.12762758743235825
Frome Vale,0.6546292417105468
Filwood,0.34679265404518234
Cotham,0.04149347253883506
Clifton Down,0.08725244350925809
Brislington West,0.33764073704032327
Eastville,0.6045261113255199
Central,-0.132664004506182
Hartcliffe and Withywood,0.2389722042103687
Lockleaze,-1.7265883135637003
Hillfields,0.2652369548925363
Henbury and Brentry,-1.0920723893584645
Redland,0.5381124631392794
Horfield,-1.6123723805600978
Knowle,-0.1690340100551877
Lawrence Hill,0.25417642242575145
Hengrove and Whitchurch Park,0.553797671455768
Hotwells and Harbourside,-5.071457945965683
St George Central,0.40702117084349443
Stockwood,-2.2105182891823367
Southmead,-3.2913181843097403
Stoke Bishop,-5.099593491028089
Westbury-on-Trym and Henleaze,-2.5626646862048146
Windmill Hill,0.7506878164054915
Southville,-2.0595730876267617
St George Troopers Hill,-2.4594258495909163
St George West,0.25049214695445365
