Name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
North East,42300,42500,42950,43500,44500,45000,45950,46500,46995,47000,47500,47500,48000,48500,49000,50000,50500,51000,52000,52000,52000,52000,52500,53750,55000,56000,57950,59500,60000,64000,67500,72000,77950,81000,87000,92000,96000,99950,102000,105000,108937,110000,115000,117000,119000,120000,120148,122000,122500,123000,123000,122000,120000,119995,118000,118000,120000,122000,123000,124950,122000,122000,120000,118950,117500,117500,117500,119000,120000,120000,120000,121000,122500,124000,124995,125000,125973,128650,130000,130450,132500,132000,133000,133500,134950,135000,135000,135000,136000,137500,138000,139995,140000,140000,140000,142000,142500,143000,142474,145000,150000,155000,158600,158604,155000,151000,150000,150000,151000,152500
North West,45000,45000,45000,45750,46333,47000,48000,48500,49000,49450,49950,50000,50000,51000,51500,52500,53650,54500,55000,56000,56500,57000,58000,59950,60000,62000,64950,67500,70000,73500,76500,80000,85000,89500,95000,100750,108000,112000,115000,116500,119000,119995,121000,125000,127950,130000,131500,133500,134950,135000,134950,132500,129950,127000,125000,125000,130000,130000,130000,132000,130000,130000,129000,127500,127000,128000,129000,129000,130000,129950,130000,130000,132000,133000,135000,137000,138500,140000,140000,142500,145000,145000,146000,148000,150000,151995,152500,155000,157000,158000,160000,160000,161000,162000,164950,165000,167500,170000,170000,173000,180000,189000,195000,197000,195000,191500,190000,193000,200000,200000
Yorkshire and The Humber,45500,45500,45600,46000,46700,47000,47995,48500,48950,49000,49500,49950,50000,50000,51000,52000,53000,53950,54950,55000,56000,56995,58000,59000,59950,60000,64000,66995,70000,74000,77995,82500,87950,91000,98000,105000,110000,115000,116160,118250,119995,120000,123500,125000,128500,130000,132000,134750,135000,136000,135000,134000,130000,127500,125000,126500,130000,131000,135000,135000,135000,134500,132000,130000,130000,130000,130000,130000,130000,130000,130000,132000,134950,135000,137000,138500,139999,140000,140500,143000,145000,145000,147500,149950,150000,152000,154000,155000,155000,157000,158000,160000,160000,161000,162500,164950,165000,167500,168000,170000,175000,184000,190000,190000,189995,186000,184950,185995,190500,192500
East Midlands,45950,45995,46000,46500,47500,48000,49000,49950,50000,51000,52000,53000,53500,54000,55000,56000,57500,58500,59900,60000,61500,63500,65950,68000,70000,72250,75000,79995,85000,89000,94000,99950,107000,112000,117950,123000,126450,129950,130000,130500,132000,132000,134000,135000,137000,139180,140000,142995,144500,145000,144000,142000,138000,135000,132500,132000,135000,136000,138000,140000,139000,139000,138000,136995,136000,136500,136870,137450,138000,138000,139000,140000,141500,143000,145000,148500,150000,152000,155000,157000,160000,160000,164000,165175,168315,172000,175000,176995,180000,181000,184585,186000,189950,190000,191250,192500,195000,195000,195000,200000,210000,220000,225000,227500,227000,225000,225000,230000,235000,238000
West Midlands,49500,49500,49950,50000,51000,52000,53000,54000,54500,55000,55250,56000,57000,57950,58850,59950,60000,63000,64750,65500,67000,68500,70500,73500,76000,78000,81000,85000,89950,93000,97000,103000,110000,115000,119995,125000,128500,130000,133000,133000,134000,135000,137000,140000,142500,143500,145000,146000,147000,148000,147000,145000,142000,140000,138000,139950,142000,143000,145000,147500,147000,146500,145000,144000,142500,143500,143750,145000,145000,145950,147000,148000,149995,150000,152498,155000,156000,158000,159995,161000,164000,164995,165500,168000,170000,174995,175000,178000,180000,183000,185000,188000,190000,191000,194000,195000,195000,199000,199995,202000,212500,224000,230000,230000,229950,225000,222000,229950,235000,237500
East of England,57500,57000,57000,58000,58950,59500,60000,62000,63500,64950,66000,67750,69000,69995,71000,73995,76000,78000,80000,84000,86500,88950,92000,95500,99995,105000,110000,118500,125000,130000,136000,140000,145500,149995,154750,159995,164000,165000,168000,169000,169995,170000,172000,175000,178000,180000,184000,186950,190000,192000,193000,190000,186000,180000,175000,175000,175000,179000,185000,189000,195000,192000,190000,190000,189995,189950,190000,190000,193000,195000,195000,197000,200000,200000,205000,210000,215000,220000,225000,230000,238000,240000,247000,250000,258000,265000,270000,275000,278000,280000,280000,284995,285000,285000,287000,287500,289995,290000,290000,295000,308000,320000,330000,325000,325000,320000,315000,330000,340000,342500
South East,65000,65250,66000,67500,68500,69500,70950,72500,74500,76000,78500,81000,83000,84500,86000,89000,92500,95500,100000,106950,112000,115000,119000,123000,126000,129050,134000,140000,148000,153000,159950,165000,169950,172000,176000,181000,185000,188000,190000,190000,192000,192500,195000,199000,202500,205000,210000,215000,219950,220500,223000,220000,215000,210000,200000,200000,203000,210000,216000,223000,229000,225973,225000,224950,223000,221000,224997,225000,229000,230000,232000,234000,235000,238000,240000,245000,249950,250000,254000,265000,273500,279000,285000,290000,295500,301950,306000,310000,315000,317000,320000,320000,320000,320000,321000,323000,325000,325000,325000,330000,345000,361500,370000,365000,365000,360000,355000,373710,380000,385000
South West,55000,55000,55500,56500,57250,58000,59000,59950,60000,62000,64000,65000,66500,67500,68950,71000,74000,76000,79500,82000,85000,86500,89950,93000,96500,100000,107750,115000,123000,128000,134950,139950,145000,148000,153000,159950,164995,167500,169950,169950,169950,169950,171000,175000,178000,180000,185000,187995,190000,192500,192500,190000,185000,180000,175000,175000,175000,178000,183000,187000,190000,190000,188000,185000,185000,185000,185000,186899,187500,188000,188000,189950,190000,192000,195000,199000,200500,205000,209950,212000,216000,218995,221675,225000,229950,234000,235000,240000,242500,245000,246418,249500,250000,250000,250950,252000,253500,255000,255000,260000,272500,285000,295000,290000,289995,285000,282500,297000,307500,310000
Wales,44000,44000,44500,45000,45000,45500,46500,47000,47950,48000,48500,49000,49500,50000,50000,52000,53000,54000,55000,56000,56500,57000,58000,59950,60000,61950,64950,67500,71000,74950,78000,82500,88000,92000,98500,109000,115000,119995,122000,124000,125000,125000,128000,130000,132950,135000,137000,139000,140000,140000,140000,138000,135000,133100,130000,130000,132500,132000,135000,135000,135000,134950,132935,131000,130000,132500,132500,133000,133000,133000,133000,133500,135000,135000,136000,138000,140000,140000,142000,142950,144950,145000,146500,148000,149000,150000,150000,150000,152000,154000,155000,156000,157500,158000,160000,160000,163000,165000,165000,167000,172500,180000,185000,186400,188000,187750,187000,194000,197500,200000
London,72950,73000,74000,75000,77000,79000,81000,83500,86000,88000,91000,94950,96500,99950,105000,111000,118000,123500,129000,134000,138000,141000,145000,150000,155000,159500,165000,174000,180500,186950,190000,195000,200000,205000,210000,217000,220000,225000,227000,229000,230000,232000,235000,240000,245000,248000,249999,250000,263000,267000,270000,265000,259000,250000,250000,250000,250000,265000,275000,280000,287500,290000,290000,293000,293000,289950,295000,297500,300000,310000,310000,315000,323500,330000,341000,353000,365000,375000,380000,390000,400000,418500,426000,435000,442000,445000,450000,460000,465000,467000,465500,467500,467500,467500,467500,470000,475000,476500,478500,485000,498000,508000,515000,513500,510000,510000,511000,525000,533000,535000
